job_title,description,category
DevOps Engineer - Lead,"DevOps Engineer role. Required: Kubernetes, monitoring, Docker. Responsibilities: write tests, collaborate with team. Experience required: 7 years.",DevOps Engineer
ML Engineer - Senior,"ML Engineer role. Required: TensorFlow, PyTorch, model deployment. Responsibilities: deploy services, write tests. Experience required: 8 years.",ML Engineer
Python Developer - II,"Python Developer role. Required: PostgreSQL, Flask, Django. Responsibilities: deploy services, optimize performance. Experience required: 9 years.",Python Developer
SDE - Senior,"SDE role. Required: Java, REST APIs, Node.js. Responsibilities: collaborate with team, optimize performance. Experience required: 7 years.",SDE
Python Developer - I,"Python Developer role. Required: Django, Python, REST. Responsibilities: implement features, write tests. Experience required: 4 years.",Python Developer
SDE - Lead,"SDE role. Required: algorithms, data structures, system design. Responsibilities: optimize performance, optimize performance. Experience required: 7 years.",SDE
Python Developer - Intern,"Python Developer role. Required: APIs, PostgreSQL, Django. Responsibilities: optimize performance, write tests. Experience required: 6 years.",Python Developer
Frontend Engineer - II,"Frontend Engineer role. Required: React, UX, JavaScript. Responsibilities: optimize performance, write tests. Experience required: 10 years.",Frontend Engineer
Frontend Engineer - Lead,"Frontend Engineer role. Required: TypeScript, HTML, JavaScript. Responsibilities: deploy services, deploy services. Experience required: 2 years.",Frontend Engineer
DevOps Engineer - Intern,"DevOps Engineer role. Required: monitoring, CI/CD, infrastructure. Responsibilities: deploy services, deploy services. Experience required: 1 years.",DevOps Engineer
SDE - I,"SDE role. Required: REST APIs, C++, Spring. Responsibilities: collaborate with team, collaborate with team. Experience required: 1 years.",SDE
ML Engineer - Intern,"ML Engineer role. Required: ML pipelines, feature engineering, model deployment. Responsibilities: optimize performance, write tests. Experience required: 1 years.",ML Engineer
QA Engineer - Intern,"QA Engineer role. Required: bug tracking, testing, test automation. Responsibilities: collaborate with team, implement features. Experience required: 3 years.",QA Engineer
Data Analyst - Senior,"Data Analyst role. Required: reporting, BI, Tableau. Responsibilities: collaborate with team, implement features. Experience required: 10 years.",Data Analyst
Data Scientist - Lead,"Data Scientist role. Required: SQL, pandas, R. Responsibilities: optimize performance, deploy services. Experience required: 7 years.",Data Scientist
DevOps Engineer - Intern,"DevOps Engineer role. Required: monitoring, Kubernetes, Docker. Responsibilities: collaborate with team, collaborate with team. Experience required: 6 years.",DevOps Engineer
Python Developer - II,"Python Developer role. Required: REST, Flask, Python. Responsibilities: optimize performance, optimize performance. Experience required: 4 years.",Python Developer
Frontend Engineer - Senior,"Frontend Engineer role. Required: UI, TypeScript, UX. Responsibilities: implement features, implement features. Experience required: 9 years.",Frontend Engineer
Python Developer - Intern,"Python Developer role. Required: PostgreSQL, REST, Django. Responsibilities: collaborate with team, implement features. Experience required: 5 years.",Python Developer
SDE - Senior,"SDE role. Required: REST APIs, Node.js, system design. Responsibilities: implement features, write tests. Experience required: 4 years.",SDE
Python Developer - II,"Python Developer role. Required: PostgreSQL, Django, REST. Responsibilities: implement features, collaborate with team. Experience required: 1 years.",Python Developer
Data Scientist - II,"Data Scientist role. Required: pandas, scikit-learn, Python. Responsibilities: collaborate with team, write tests. Experience required: 5 years.",Data Scientist
Python Developer - II,"Python Developer role. Required: Python, Django, APIs. Responsibilities: collaborate with team, implement features. Experience required: 6 years.",Python Developer
QA Engineer - Intern,"QA Engineer role. Required: testing, Selenium, bug tracking. Responsibilities: collaborate with team, implement features. Experience required: 9 years.",QA Engineer
